Name,Input Resolution,Operations,Parameters
AlexNet-1,224x224x3,0.72,61.10
DenseNet121-1,224x224x3,3.19,8.04
DenseNet161-1,224x224x3,8.43,28.86
EfficientNetB2-1,288x288x3,1.60,9.08
EfficientNetV2S-1,384X384x3,9.47,21.38
HarDNet39DS-1,224x224x3,0.44,3.48
MobileNetV1-1,224x224x3,0.58,4.22
MobileNetV2-1,224x224x3,0.32,3.49
MobileNetV3L-1,224x224x3,4.26,17.56
RegNetX400MF-1,224x224x3,0.81,7.24
RegNetX800MF-1,224x224x3,0.21,3.15
RegNetY200MF-1,224x224x3,0.41,4.33
RegNetY400MF-1,224x224x3,0.85,6.42
RegNetY800MF-1,224x224x3,4.83,12.79
RepVGGA1-1,320X320x3,4.83,12.79
ResNet101-1,320x320x3,1.82,11.69
ResNet18-1,224x224x3,4.12,25.53
ResNet34-1,224x224x3,4.4,1.14
ResNet50-1,224x224x3,4.27,25.00
ResNeXt26_32x4d-1,224x224x3,2.49,15.37
ResNeXt50_32x4d-1,224x224x3,4.27,25.00
SqueezeNet1_0-1,224x224x3,7.63,132.86
SqueezeNet1_1-1,224x224x3,7.63,132.86
VGG11-1,224x224x3,11.34,133.05
VGG11BN-1,224x224x3,11.34,133.05
VGG13-1,224x224x3,19.69,143.67
VGG13BN-1,224x224x3,22.81,126.82
VGG19BN-1,224x224x3,11.43,68.85
WideResNet101-2,300x300x3,1.55,9.48
WideResNet50-2,300x300x3,0.7,3.38
SSDMV1-1,640x640x3,81.13,62.02
SSDMV2Lite-1,640x640x3,57.1,46.64
YOLOV3-1,640x640x3,26.07,21.27
YOLOV5L-1,640x640x3,2.71,1.97
YOLOV5M-1,640x640x3,9.1,7.33
YOLOV5N-1,640x640x3,55.28,36.92
YOLOV5S-1,1280x1280x3,269.21,97.27
YOLOV7-2,640x640x3,7.01,6.24
YOLOV7E6-1,640x640x3,85.13,43.69
YOLOV7Tiny-1,640x640x3,53.92,25.31
YOLOV8L-1,640x640x3,14.51,7.13
YOLOv9-C-2,640x640x3,25.84,22
YOLOv9-S-2,640x640x3,14.51,7.13
YOLOv9-T-2,640x640x3,4.56,2.03
YOLOXS-1,640x640x3,8.53,8.07
BiSeNetV1-1,640x640x3,8.53,8.07
BiSeNetV2-1,640x640x3,8.53,8.07
DeepLabV3PlusMobilenet-1,640x640x3,54.63,38.55
YOLOV5M_Face-1,960x960x3,100.21,74.44
YOLOV5S_Face-1,960x960x3,100.21,74.44
YOLOV7_Face-1,960x960x3,100.21,74.44
YOLOV7_W6_Face-1,1280x1280x3,178.16,77.96
YOLOV7_W6_TTA_Face-1,1280x1280x3,178.16,77.96
YOLOV7s_Face-1,1280x1280x3,178.16,77.96
DnCNN-2,640x640x3,9.35,6.26
DnCNN-3,640x640x3,9.35,6.26
DnCNN-4,640x640x3,9.35,6.26
